timestamp,power_kW
0,78.5
30,81.2
60,76.3
90,83.1
120,79.8
150,88.6
180,88.2
210,82.8
240,85.9
270,86.4
300,91.3
330,96.7
360,96.2
390,97.6
420,98.8
450,95.3
480,90.3
510,90.5
540,91.4
570,87.8
600,94.8
630,96.3
660,94.9
690,92.7
720,94.5
750,86.5
780,80.7
810,77.5
840,80.4
870,79.3
900,81.8
930,82.7
960,81.9
990,83.0
1020,76.1
1050,72.8
1080,70.2
1110,65.9
1140,66.3
1170,65.4
1200,68.2
1230,66.5
1260,68.9
1290,68.8
1320,65.5
1350,63.4
1380,59.7
1410,59.2
1440,61.8
1470,62.5
1500,66.2
1530,69.1
1560,72.2
1590,77.3
1620,75.0
1650,73.2
1680,69.0
1710,72.0
1740,70.1
1770,74.8
1800,82.9
1830,85.3
1860,88.2
1890,90.5
1920,91.1
1950,89.2
1980,84.3
2010,82.5
2040,85.3
2070,87.8
2100,91.3
2130,99.3
2160,101.3
2190,98.3
2220,98.8
2250,94.4
2280,94.5
2310,89.7
2340,88.1
2370,89.2
2400,93.4
2430,93.7
2460,96.4
2490,97.2
2520,91.2
2550,85.8
2580,86.1
2610,79.9
2640,75.9
2670,75.9
2700,77.7
2730,82.1
2760,83.4
2790,79.7
2820,74.2
2850,71.8
2880,71.2
2910,65.4
2940,66.9
2970,67.1
3000,64.1
3030,70.6
3060,71.6
3090,70.3
3120,66.6
3150,65.8
3180,59.8
3210,60.2
3240,60.7
3270,66.1
3300,69.3
3330,69.4
3360,73.6
3390,72.8
3420,76.6
3450,74.7
3480,69.8
3510,71.4
3540,72.8
3570,73.4
3600,81.6
3630,84.7
3660,89.5
3690,89.6
3720,86.0
3750,86.4
3780,83.0
3810,87.9
3840,88.7
3870,91.2
3900,91.8
3930,94.0
3960,101.3
3990,102.1
4020,95.4
4050,94.9
4080,89.4
4110,91.5
4140,91.1
4170,88.5
4200,92.8
4230,95.4
4260,94.5
4290,97.0
4320,91.3
4350,85.8
4380,83.4
4410,81.3
4440,76.6
4470,77.5
4500,83.0
4530,82.3
4560,81.3
4590,80.2
4620,74.6
4650,70.8
4680,67.3
4710,65.7
4740,62.5
4770,63.2
4800,64.4
4830,70.0
4860,68.9
4890,72.5
4920,70.2
4950,62.4
4980,60.6
5010,61.6
5040,59.3
5070,61.2
5100,69.6
5130,71.2
5160,73.4
5190,76.4
5220,76.0
5250,70.6
5280,68.5
5310,70.2
5340,71.7
5370,75.3
5400,81.4
5430,85.5
5460,90.8
5490,87.0
5520,88.5
5550,86.5
5580,88.0
5610,83.8
5640,84.5
5670,88.9
5700,92.5
5730,95.3
5760,97.5
5790,102.0
5820,97.5
5850,97.2
5880,92.3
5910,87.2
5940,92.5
5970,92.8
6000,95.8
6030,97.6
6060,98.0
6090,92.8
6120,91.7
6150,85.8
6180,82.6
6210,77.2
6240,77.6
6270,81.5
6300,78.6
6330,83.1
6360,81.4
6390,79.7
6420,79.6
6450,75.5
6480,68.6
6510,66.5
6540,62.0
6570,63.7
6600,69.8
6630,69.7
6660,70.7
6690,71.6
6720,65.4
6750,65.5
6780,62.2
6810,62.7
6840,58.9
6870,66.1
6900,64.5
6930,68.9
6960,74.2
6990,75.8
7020,72.5
7050,70.2
7080,73.3
7110,69.1
7140,72.7
7170,76.2
